Name,"Pub Dates",Added
CellexalVR,"2021-11, NA",2020-10-05
CellFishing,"NA, 2019-02-11",2018-11-12
CellGEP,NA,2023-02-10
cellgrid,NA,2020-07-31
CellHint,"2023-12, NA",2023-11-03
CellID,"2021-04-29, NA",2020-06-26
Cellity,2016-02-17,2016-09-08
CellLayers,"2022-01-01, NA",2022-05-20
CellMap,,2023-03-31
CellMeSH,"2021-12-10, NA",2020-06-05
CellMixS,"NA, 2021-03-23",2020-12-12
CellO,"2021-01, NA",2019-05-17
cellograph,NA,2023-03-03
CellOracle,"2023-01, 2023-02-08, NA",2021-01-25
CellOT,"2023-09-28, NA",2022-08-12
CellPath,"2021-10, NA",2021-02-26
CellPhoneDB,"2018-11-14, 2020-02-26, NA, NA, NA",2018-11-16
CellPLM,NA,2023-10-27
cellpypes,,2022-06-17
CellRanger,"2017-01-16, NA",2017-06-08
CellRank,"2022-01-13, NA, NA",2020-10-27
CellRegMap,"NA, 2022-08",2021-09-03
CellRouter,2018-03-01,2018-03-14
CellSIUS,"NA, 2019-07-17",2021-07-16
cellsnake,"2022-12-28, NA",2023-05-26
cellSNP,,2020-01-08
cellsnp-lite,"2021-05-08, NA",2021-01-08
CellST,2023-03,2023-03-31
cellstates,NA,2023-11-10
cellstruct,NA,2023-11-17
CellTagR,"2020-02-12, NA, 2019-05-09",2020-02-21
celltalker,2020-01,2020-05-29
CellTICS,2023-12-07,2024-01-05
CellTools,NA,2022-03-18
CellTrails,2018-06,2018-12-01
CellTree,2016-09-13,2016-09-08
CellTrek,"2022-03-21, NA",2021-11-27
CellTypist,"NA, 2022-05-13",2023-05-28
CellView,NA,2018-04-17
cellxgene,,2019-01-11
cellxgene_VIP,"NA, NA",2020-09-10
cellXY,,2023-02-17
Census,"2023-11-27, NA",2022-10-28
Cepo,"2021-12, NA",2021-01-15
Cerebro,"2019-11-25, NA",2019-11-06
CeSpGRN,NA,2022-03-04
CeTF,2021-08-20,2021-09-03
cFIT,"2021-03-03, NA",2020-09-17
CHETAH,"2019-06-21, NA",2019-03-01
Chloris,NA,2023-11-03
chooseR,2021-02-01,2021-02-12
Chord,"2022-05-30, NA",2021-05-14
CIA,NA,2023-12-08
CIARA,"NA, 2023-06-01",2022-08-19
CIDER,"NA, 2021-12",2021-11-20
CIDR,"NA, 2017-03-28",2016-09-09
CIForm,2023-05-17,2023-06-02
CINEMA-OT,"2023-11, NA",2022-12-02
CIPR,2020-05-15,2020-05-22
Cirrocumulus,,2020-10-05
CiteFuse,"2020-04-30, NA",2019-12-01
CITEseqCount,,2018-08-24
Citrus,"2017-10-19, NA",2016-09-09
CL-Impute,2023-07,2023-07-28
CLEAR,"2022-09, NA",2021-08-01
clonealign,"NA, 2019-03-12",2018-05-01
ClonoCluster,"2023-02, NA",2022-02-18
ClustAssess,NA,2022-02-04
cluster_diffex,"NA, 2018-07-24",2020-04-28
ClusterDE,"NA, NA",2023-08-04
clusterExperiment,"NA, 2018-09-04",2016-09-08
ClusterFoldSimilarity,NA,2022-03-18
Clustergrammer2,,2019-11-06
ClusterMap,"2019-01-14, NA",2018-11-12
ClusterMine,"NA, 2020-07-07",2017-02-05
clustermole,,2020-01-22
clusterpval,NA,2020-12-13
clustifyr,"NA, 2020-04-01, 2020-07-16",2019-12-04
CMFImpute,2020-02-19,2020-03-03
cna,"2021-10-21, NA",2021-04-23
cNMF,"NA, 2019-07-08",2019-07-24
CNNC,"2019-12-10, NA",2018-11-12
COAC,2019-02-19,2019-02-25
Cobolt,"NA, 2021-12",2021-11-12
cocoa,NA,2022-03-25
CoGAPs,2010-09-01,2020-06-16
cola,"2022-03-14, 2020-12-04, NA",2021-09-10
CombiROC,NA,2022-01-22
COMET,"NA, 2019-10-24",2019-05-31
CommPath,2022-10,2022-11-04
Compartmap,NA,2021-05-21
compass,,2020-11-22
CONCLUS,NA,2019-12-10
condiments,NA,2021-03-12
CoNGA,"2021-08-23, NA",2021-09-03
CONGAS,"2022-03-17, NA",2021-02-05
CONGASp,"NA, 2023-11-02",2023-04-06
CONICS,2018-04-20,2018-05-01
Connectome,"2022-03-09, NA",2021-01-22
Conos,"2019-07-15, NA",2018-11-09
constclust,NA,2019-07-24
contrastiveVI,"2023-08-07, NA",2022-01-06
COPILOT,2022-12,2022-10-07
CopulaGCN,"NA, 2022-03-10",2021-11-20
CopyKAT,2021-01-18,2021-10-18
corral,"2023-01-21, NA",2020-08-06
Corvo,NA,2022-12-09
COSG,"2022-01-19, NA",2021-06-18
COSGR,NA,2021-06-18
cosin,NA,2023-06-02
COSLIR,NA,2021-05-21
CoSpar,"2022-02-21, NA",2021-05-14
CosTaL,"2023-05-05, NA",2022-11-11
COT,"2022-01-01, NA",2021-01-15
COTAN,2021-08-11,2023-01-20
countClust,"NA, 2017-03-23",2016-09-12
countland,"2023-11-10, NA",2022-06-03
countsplit,NA,2023-07-28
coupleCoC,"2020-12-07, NA",2020-04-01
coupleCoC_plus,"NA, 2021-06-02",2021-02-19
